"id","label","description","icon_found","icon_match","icon_filename","icon_path"
"provision_coin_1700_ny_tkn","1700 New Yorke Token","A rare 1700 New Yorke Token","False","none",,
"provision_coin_1787_cent_tkn","1787 One cent Token","A rare 1787 One cent Token","False","none",,
"provision_coin_1789_pny","1789 Penny","A rare 1789 Penny","False","none",,
"provision_coin_1792_lib_qtr","1792 Liberty Quarter","A rare 1792 Liberty Quarter","False","none",,
"provision_coin_1792_nickel","1792 Nickel","A rare 1792 Nickel","False","none",,
"provision_coin_1792_qtr","1792 Quarter","A rare 1792 Quarter","False","none",,
"provision_coin_1794_slv_dlr","1794 Silver Dollar","A rare 1794 Silver Dollar","False","none",,
"provision_coin_1795_hlf_eag","1795 Half Eagle","A rare 1795 Half Eagle","False","none",,
"provision_coin_1796_hlf_pny","1796 Half Penny","A rare 1796 Half Penny","False","none",,
"provision_coin_1797_gld_eag","1797 Gold Eagle","A rare 1797 Gold Eagle","False","none",,
"provision_coin_1798_slv_dlr","1798 Silver Dollar","A rare 1798 Silver Dollar","False","none",,
"provision_coin_1800_five_dlr","1800 Five Dollar","A rare 1800 Five Dollar","False","none",,
"provision_coin_1800_gld_dlr","1800 Gold Dollar","A rare 1800 Gold Dollar","False","none",,
"provision_coin_1800_gld_qtr","1800 Gold Quarter","A rare 1800 Gold Quarter","False","none",,
"provision_coin_1800_hlf_dime","1800 Half Dime","A rare 1800 Half Dime","False","none",,
"provision_jewelry_dmnd_bngle_bracelet","Abell├│ Ruby Bangle Bracelet","A hinged gold bangle with a series of claw set rubies.","False","none",,
"absinthe","Absinthe","An anise-flavoured spirit derived from several plants, including the flowers and leaves of Artemisia absinthium","True","item-id","absinthe.png","assets/items/absinthe.png"
"acid","Acid","A corrosive substance used for various purposes.","True","item-id","acid.png","assets/items/acid.png"
"provision_ro_flower_acunas_star","Acunas Star Orchid","The Acunas Star Orchid an be identified by the branching of the stems, alternate leaves, and cream colored petals. The trailing plant is often found on the ground or growing around trees in swampland areas.","False","none",,
"Agarita","Agarita","A flowering plant found in the wild, known for its medicinal properties.","True","item-id","Agarita.png","assets/items/Agarita.png"
"Agarita_Seed","Agarita Seed","A seed that can be planted to grow Agarita plants.","True","item-id","Agarita_Seed.png","assets/items/Agarita_Seed.png"
"provision_arrowhead_agate","Agate Arrowhead","A rare arrowhead fashioned from sharp, colorful agate.","False","none",,
